root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
dji_netwo   239       root   10       ???                ???       ???        ??? socket:[6216]
dji_netwo   239       root   11       ???                ???       ???        ??? socket:[6217]
dji_netwo   239       root   13       ???                ???       ???        ??? socket:[6218]
dji_netwo   239       root   14       ???                ???       ???        ??? socket:[6219]
dji_netwo   239       root   15       ???                ???       ???        ??? socket:[5892]
dji_sw_ua   241       root  exe       ???                ???       ???        ??? /system/bin/dji_sw_uav
dji_sw_ua   241       root    0       ???                ???       ???        ??? /dev/null
dji_sw_ua   241       root    1       ???                ???       ???        ??? /dev/null
dji_sw_ua   241       root    2       ???                ???       ???        ??? /dev/null
dji_sw_ua   241       root    3       ???                ???       ???        ??? /dev/log/main
dji_sw_ua   241       root    4       ???                ???       ???        ??? /dev/log/radio
dji_sw_ua   241       root    5       ???                ???       ???        ??? /dev/log/events
dji_sw_ua   241       root    6       ???                ???       ???        ??? /dev/log/system
dji_sw_ua   241       root    7       ???                ???       ???        ??? socket:[3304]
dji_sw_ua   241       root    8       ???                ???       ???        ??? /dev/__properties__
dji_sw_ua   241       root    9       ???                ???       ???        ??? socket:[3305]
dji_sw_ua   241       root   10       ???                ???       ???        ??? socket:[3314]
dji_sw_ua   241       root   12       ???                ???       ???        ??? socket:[3321]
dji_sw_ua   241       root   13       ???                ???       ???        ??? socket:[3322]
dji_sw_ua   241       root   14       ???                ???       ???        ??? socket:[2692]
dji_sw_ua   241       root   15       ???                ???       ???        ??? socket:[3324]
dji_sw_ua   241       root   16       ???                ???       ???        ??? socket:[3326]
dji_sw_ua   241       root   17       ???                ???       ???        ??? socket:[2693]
dji_monit   243       root  exe       ???                ???       ???        ??? /system/bin/dji_monitor
dji_monit   243       root    0       ???                ???       ???        ??? /dev/null
dji_monit   243       root    1       ???                ???       ???        ??? /dev/null
dji_monit   243       root    2       ???                ???       ???        ??? /dev/null
dji_monit   243       root    3       ???                ???       ???        ??? /dev/log/main
dji_monit   243       root    4       ???                ???       ???        ??? /dev/log/radio
dji_monit   243       root    5       ???                ???       ???        ??? /dev/log/events
dji_monit   243       root    6       ???                ???       ???        ??? /dev/log/system
dji_monit   243       root    7       ???                ???       ???        ??? socket:[3302]
dji_monit   243       root    8       ???                ???       ???        ??? /dev/__properties__
dji_monit   243       root    9       ???                ???       ???        ??? socket:[3303]
dji_monit   243       root   10       ???                ???       ???        ??? socket:[3311]
dji_sys     245       root  exe       ???                ???       ???        ??? /system/bin/dji_sys
dji_sys     245       root    0       ???                ???       ???        ??? /dev/null
dji_sys     245       root    1       ???                ???       ???        ??? /dev/null
dji_sys     245       root    2       ???                ???       ???        ??? /dev/null
dji_sys     245       root    3       ???                ???       ???        ??? /dev/log/main
dji_sys     245       root    4       ???                ???       ???        ??? /dev/log/radio
dji_sys     245       root    5       ???                ???       ???        ??? /dev/log/events
dji_sys     245       root    6       ???                ???       ???        ??? /dev/log/system
dji_sys     245       root    7       ???                ???       ???        ??? socket:[2698]
dji_sys     245       root    8       ???                ???       ???        ??? /dev/__properties__
dji_sys     245       root    9       ???                ???       ???        ??? socket:[2699]
dji_sys     245       root   11       ???                ???       ???        ??? socket:[3735]
dji_sys     245       root   12       ???                ???       ???        ??? /dev/ttyGS0
dji_sys     245       root   13       ???                ???       ???        ??? socket:[3747]
dji_sys     245       root   14       ???                ???       ???        ??? socket:[3758]
dji_sys     245       root   15       ???                ???       ???        ??? socket:[3767]
dji_sys     245       root   16       ???                ???       ???        ??? socket:[3768]
dji_sys     245       root   17       ???                ???       ???        ??? socket:[3774]
dji_sys     245       root   18       ???                ???       ???        ??? socket:[3782]
dji_sys     245       root   19       ???                ???       ???        ??? socket:[3788]
